,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,26,36,46,56,66,76,86
1,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,2,1,,,,,
2,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,3,2,1,,,,
3,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,4,3,2,1,,,
4,,,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,5,4,3,2,1,,
5,,,,3,4,5,6,7,8,9,10,11,12,13,14,15,16,6,5,4,3,2,1,
6,,,1,4,5,6,7,8,9,10,11,12,13,14,15,16,17,7,6,5,4,3,2,1
7,,1,2,5,6,7,8,9,10,11,12,13,14,15,16,17,18,8,7,6,5,4,3,2
8,1,2,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19,9,8,7,6,5,4,3
9,2,3,4,7,8,9,10,11,12,13,14,15,16,17,18,19,20,10,9,8,7,6,5,4
10,3,4,5,8,9,10,11,12,13,14,15,16,17,18,19,20,21,11,10,9,8,7,6,5
11,4,5,6,9,10,11,12,13,14,15,16,17,18,19,20,21,22,12,11,10,9,8,7,6
12,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,13,12,11,10,9,8,7
13,6,7,8,11,12,13,14,15,16,17,18,19,20,21,22,23,24,14,13,12,11,10,9,8
14,7,8,9,12,13,14,15,16,17,18,19,20,21,22,23,24,25,15,14,13,12,11,10,9
15,,,,,,,,,,,,,,,,,,16,15,14,13,12,11,10
